,precision,recall,f1-score,support
Type 1,0.735191637630662,0.5641711229946524,0.6384266263237519,374.0
Type 2,0.27555555555555555,0.4492753623188406,0.3415977961432507,138.0
accuracy,0.533203125,0.533203125,0.533203125,0.533203125
macro avg,0.5053735965931088,0.5067232426567465,0.4900122112335013,512.0
weighted avg,0.6113053498838559,0.533203125,0.5584219806891637,512.0
