,precision,recall,f1-score,support
No Accident,0.9756838905775076,0.7980662983425414,0.8779820695942866,7240.0
Accident,0.2010928961748634,0.71875,0.3142613151152861,512.0
accuracy,0.792827657378741,0.792827657378741,0.792827657378741,0.792827657378741
macro avg,0.5883883933761855,0.7584081491712706,0.5961216923547863,7752.0
weighted avg,0.9245241138574155,0.792827657378741,0.840749739061102,7752.0
