,precision,recall,f1-score,support
No Accident,0.9760256626709438,0.7984806629834255,0.8783711919775127,7240.0
Accident,0.20229633679606343,0.72265625,0.31610422896198204,512.0
accuracy,0.7934726522187823,0.7934726522187823,0.7934726522187823,0.7934726522187823
macro avg,0.5891609997335037,0.7605684564917128,0.5972377104697474,7752.0
weighted avg,0.9249227969784852,0.7934726522187823,0.8412348806947532,7752.0
