,precision,recall,f1-score,support
No Accident,0.9750178443968593,0.7546961325966851,0.8508252880722517,7240.0
Type 1,0.19042871385842472,0.5106951871657754,0.2774146695715323,374.0
Type 2,0.027074235807860263,0.2246376811594203,0.048324240062353856,138.0
accuracy,0.7334881320949432,0.7334881320949432,0.7334881320949432,0.7334881320949432
macro avg,0.39750693135438137,0.496676333640627,0.39218806590204597,7752.0
weighted avg,0.9202897029099326,0.7334881320949432,0.8088747313198479,7752.0
